university_name,location,established_date,campus,specialization,type
University of Veterinary and Animal Sciences,Lahore,1882-01-01,"Jhang, Pattoki, Narowal, Layyah",General,Public
University of the Punjab,Lahore,1882-01-01,"Gujranwala, Jhelum, Khanspur",General,Public
Punjab Tianjin University of Technology,Lahore,2018-01-01,,Engineering and Technology,Public
"University of Agriculture, Faisalabad",Faisalabad,1906-01-01,"Burewala, Toba Tek Singh, Depalpur",General,Public
Namal Institute,Mianwali,2008-01-01,,Engineering and Technology,Private
Kinnaird College for Women University,Lahore,1913-01-01,,General,Public
"Government College University, Lahore",Lahore,1864-01-01,,General,Public
Lahore College for Women University,Lahore,1922-01-01,Jhang,General,Public
"Government College University, Faisalabad",Faisalabad,1897-01-01,"Layyah, Sahiwal, Chiniot",General,Public
Fatima Jinnah Medical University,Lahore,1948-01-01,,Medical,Public
National Textile University,Faisalabad,1959-01-01,Karachi,General,Public
Pir Mehr Ali Shah Arid Agriculture University,Rawalpindi,1970-01-01,,General,Public
Bahauddin Zakariya University,Multan,1975-01-01,"Layyah, Vehari",General,Public
The Islamia University of Bahawalpur,Bahawalpur,1975-01-01,"Bahawalnagar, Rahim Yar Khan",General,Public
"University of Engineering and Technology, Taxila",Taxila,1975-01-01,,General,Public
Lahore University of Management Sciences,Lahore,1984-01-01,,General,Private
NFC Institute of Engineering and Technology,Multan,1985-01-01,,General,Public
"Institute of Management Sciences, Lahore",Lahore,1987-01-01,,General,Private
"University of Management and Technology, Lahore",Lahore,1990-01-01,Sialkot,General,Private
National College of Business Administration and Economics,Lahore,1994-01-01,"Multan, Bahawalpur, Rahim Yar Khan",General,Private
University of Central Punjab,Lahore,2002-01-01,,General,Private
Fatima Jinnah Women University,Rawalpindi,1998-01-01,,General,Public
University of Sargodha,Sargodha,2002-01-01,Bhakkar,General,Public
"University of Health Sciences, Lahore",Lahore,2002-01-01,,General,Public
University of Education,Lahore,2002-01-01,"Attock, Dera Ghazi Khan, Faisalabad, Jauharabad, Multan, Vehari",General,Public
GIFT University,Gujranwala,2002-01-01,,General,Private
Hajvery University,Lahore,2002-01-01,Sheikhupura,General,Private
Faisalabad Medical University,Faisalabad,1973-01-01,,General,Public
University of Faisalabad,Faisalabad,2002-01-01,,General,Private
University of Lahore,Lahore,1999-01-01,"Gujrat, Sargodha, Pakpattan",General,Private
Beaconhouse National University,Lahore,2003-01-01,,General,Private
University of South Asia,Lahore,2003-01-01,,General,Private
University of Gujrat,Gujrat,2004-01-01,"Lahore, Rawalpindi, Narowal, Mandi Bahauddin",General,Public
Superior University,Lahore,2004-01-01,,General,Private
"Minhaj University, Lahore",Lahore,2005-01-01,,General,Private
HITEC University,Taxila,2007-01-01,,General,Private
University of Wah,Wah,2009-01-01,,General,Private
Pakistan Institute of Fashion and Design,Lahore,1994-01-01,,General,Public
Women University Multan,Multan,2010-01-01,,General,Public
Institute of Southern Punjab,Multan,2010-01-01,,General,Private
Qarshi University,Lahore,2011-01-01,,General,Private
"Government College Women University, Sialkot",Sialkot,2012-01-01,,General,Public
Government Sadiq College Women University,Bahawalpur,2012-01-01,,General,Public
Ghazi University,Dera Ghazi Khan,2012-01-01,,General,Public
"Government College Women University, Faisalabad",Faisalabad,2012-01-01,,General,Public
Information Technology University (Lahore),Lahore,2012-01-01,,General,Public
Muhammad Nawaz Sharif University of Agriculture,Multan,2012-01-01,,General,Public
Muhammad Nawaz Sharif University of Engineering and Technology,Multan,2012-01-01,,General,Public
Virtual University of Pakistan,Lahore,2002-01-01,Across the entire Pakistan,General,Public
Lahore Garrison University,Lahore,2012-01-01,,General,Private
Cholistan University of Veterinary and Animal Sciences,Bahawalpur,2014-01-01,,Agriculture and Veterinary,Public
Khawaja Fareed University of Engineering and Information Technology,Rahim Yar Khan,2014-01-01,,General,Public
"University of Engineering and Technology, Rasul",Mandi Bahauddin,1873-01-01,,General,Public
University of Sahiwal,Sahiwal,2015-01-01,,General,Public
University of Okara,Okara,2015-01-01,,General,Public
University of Jhang,Jhang,2015-01-01,,General,Public
NUR International University,Lahore,2015-01-01,,General,Private
University of Sialkot,Sialkot,2013-01-01,,General,Private
Lahore School of Economics,Lahore,1997-01-01,,Medical,Public
Rawalpindi Medical University,Rawalpindi,1974-01-01,,Medical,Public
Nishtar Medical University,Multan,1951-01-01,,Medical,Public
National University of Medical Sciences,Rawalpindi,2015-01-01,,Medical,Public
University of Home Economics Lahore,Lahore,1955-01-01,,General,Public
Mir Chakar Khan Rind University of Technology,Dera Ghazi Khan,2019-01-01,,Engineering and Technology,Public
Rawalpindi Women University,Rawalpindi,1950-01-01,,General,Public
Institute for Art and Culture,Lahore,2019-01-01,,Arts and Design,Public
University of Narowal,Narowal,2014-01-01,,General,Public
Al-Qadir University[31][32],Sohawa,2021-01-01,,Sufism,Public
Baba Guru Nanak University,Nankana Sahib,2021-01-01,,General,Public
University of Chakwal,Chakwal,2020-01-01,,General,Public
University of Mianwali,Mianwali,2020-01-01,,General,Public
Thal University,Bhakkar,2021-01-01,,General,Public
Green International University,Lahore,2020-01-01,,General,Private
Kohsar University Murree,Murree,2021-01-01,,General,Public
Lahore Institute of Science and Technology,Lahore,2022-01-01,,General,Private
Grand Asian University Sialkot,Sialkot,2022-01-01,,General,Private
Government Viqar-un-Nisa Women University,Rawalpindi,2022-01-01,,General,Public
Liaquat University of Medical and Health Sciences,Jamshoro,1881-01-01,,General,Public
Sindh Madressatul Islam University,Karachi,1885-01-01,,General,Public
NED University of Engineering and Technology,Karachi,1922-01-01,Tharparkar,General,Public
Dow University of Health Sciences,Karachi,1945-01-01,,General,Public
University of Sindh,Jamshoro,1947-01-01,"Hyderabad,Larkana,Badin, Dadu, Mirpur Khas,Naushahro Feroze, Thatta, Bhit Shah,",General,Public
University of Karachi,Karachi,1951-01-01,,General,Public
"Institute of Business Administration, Karachi",Karachi,1955-01-01,,General,Public
Dawood University of Engineering and Technology,Karachi,1962-01-01,,General,Public
Mehran University of Engineering and Technology,Jamshoro,1963-01-01,"Khairpur, Sujawal, Jacobabad,",General,Public
Pakistan Naval Academy,Karachi,1970-01-01,,General,Military
Shah Abdul Latif University,Khairpur,1974-01-01,"Ghotki, Shikarpur,Shahdadkot",General,Public
"Quaid-e-Awam University of Engineering, Science and Technology",Benazirabad,1974-01-01,Larkana,General,Public
Sindh Agriculture University,Tandojam,1977-01-01,"Dokri, Khairpur, Umerkot",General,Public
Indus Valley School of Art and Architecture,Karachi,1989-01-01,,General,Private
Baqai Medical University,Karachi,1989-01-01,,General,Private
Hamdard University,Karachi,1991-01-01,Islamabad,General,Private
Commecs institute of business and emerging sciences,Karachi,1993-01-01,,General,Private
Sir Syed University of Engineering and Technology,Karachi,1993-01-01,,General,Private
Sukkur Institute of Business Administration (IBA) University,Sukkur,1994-01-01,"Hyderabad, Larkana, Mirpurkhas",General,Public
Textile Institute of Pakistan,Karachi,1994-01-01,,General,Private
Institute of Business Management,Karachi,1995-01-01,,General,Private
Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology,Karachi,1995-01-01,"Hyderabad, Islamabad, Larkana, United Arab Emirates",General,Private
Isra University,Hyderabad,1997-01-01,"Islamabad, Karachi",General,Private
Karachi Institute of Economics and Technology,Karachi,1997-01-01,,General,Private
"Greenwich University, Karachi",Karachi,1987-01-01,Mauritius,General,Private
Jinnah University for Women,Karachi,1998-01-01,,General,Private
Iqra University,Karachi,1998-01-01,"Islamabad, Quetta",General,Private
Dadabhoy Institute of Higher Education,Karachi,2000-01-01,,General,Private
Ilma University,Karachi,2001-01-01,,General,Private
Preston Institute of Management Sciences and Technology,Karachi,2001-01-01,,General,Private
Indus University,Karachi,2004-01-01,,General,Private
University of EAST,Hyderabad,2004-01-01,,General,Private
Aga Khan University,Karachi,1983-01-01,London[33],General,Private
Shaheed Mohtarma Benazir Bhutto Medical University,Larkana,2008-01-01,,General,Public
Muhammad Ali Jinnah University,Karachi,1998-01-01,,General,Private
Sindh Institute of Medical Sciences,Karachi,2009-01-01,,General,Private
Karachi School for Business and Leadership,Karachi,2009-01-01,,General,Private
Habib University,Karachi,2009-01-01,,General,Private
Benazir Bhutto Shaheed University,Karachi,2010-01-01,,General,Public
"Shaheed Benazir Bhutto University, Benazirabad",Benazirabad,2010-01-01,"Sanghar, Naushehro Feroze",General,Public
KASB Institute of Technology,Karachi,2011-01-01,,General,Private
Pir Abdul Qadir Shah Jeelani Institute of Medical Sciences,Khairpur,2003-01-01,,General,Public
Jinnah Sindh Medical University,Karachi,1973-01-01,,General,Public
Shaheed Zulfiqar Ali Bhutto University of Law,Karachi,2012-01-01,,General,Public
DHA Suffa University,Karachi,2002-01-01,,General,Private
Nazeer Hussain University,Karachi,2012-01-01,,General,Private
Peoples University of Medical and Health Sciences for Women,Benazirabad,2013-01-01,,General,Public
Shaheed Benazir Bhutto University of Veterinary and Animal Sciences,Benazirabad,2013-01-01,,General,Public
Newports Institute of Communications and Economics,Karachi,2013-01-01,,General,Private
Shaheed Benazir Bhutto City University,Karachi,2013-01-01,,General,Private
Shaheed Benazir Bhutto Dewan University,Karachi,2013-01-01,,General,Private
"Hyderabad Institute of Arts, Science and Technology",Hyderabad,2013-01-01,,General,Private
Qalandar Shahbaz University of Modern Sciences,Karachi,2013-01-01,,General,Private
Benazir Bhutto Shaheed University of Technology and Skill Development,Khairpur,1950-01-01,,Engineering and Technology,Public
Begum Nusrat Bhutto Women University,Sukkur,2018-01-01,,General,Public
University of Sufism and Modern Sciences,Bhit Shah,2011-01-01,,General,Public
Government College University Hyderabad,Hyderabad,1917-01-01,,General,Public
Shaikh Ayaz University,Shikarpur,2011-01-01,,General,Public
Ziauddin University,Karachi,1986-01-01,,General,Public
Salim Habib University,Karachi,2015-01-01,,General,Private
Mirpur University of Science and Technology,Mirpur,2008-01-01,Bhimber,General,Public
University of Azad Jammu and Kashmir,Muzaffarabad,1980-01-01,"Neelam, Jhelum Valley",General,Public
University of Poonch,Rawalakot,2014-01-01,"Sudhanoti, Haveli",General,Public
Al-Khair University,Mirpur,1994-01-01,,General,Private
Mohi-ud-Din Islamic University,Nerian Sharif,2000-01-01,,General,Private
Women University of Azad Jammu and Kashmir Bagh,Bagh,2013-01-01,,General,Public
University of Kotli,Kotli,2014-01-01,,General,Public
Karakoram International University,Gilgit,2002-01-01,"Hunza Valley, Ghizar, Chilas",General,Public
Baltistan University,Skardu,2017-01-01,,General,Public
